geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
mmr,Myanmar,,,,,,,,,,,,,8,39,62,75,85,85,91,92,40,58,75,88,89,90,89,91,90,84,37,71,76
mne,Montenegro,,,,,,,,,,,,,,,,90,90,93,87,90,91,90,90,87,82,75,73,72,62,52,51,45,42
mng,Mongolia,,,,,,,,,,93,95,98,98,98,98,98,98,96,97,96,99,99,98,99,99,99,99,99,98,96,95,95,96
moz,Mozambique,,,,,,,,,,,25,76,76,76,75,75,75,75,74,74,77,80,82,85,85,85,85,85,85,71,56,55,70
mrt,Mauritania,,,,,,,,,,,,,,,42,68,74,74,64,64,75,80,80,81,73,74,76,77,80,81,77,85,90
mus,Mauritius,,,,,,,,,,88,92,88,97,98,97,97,97,99,99,99,98,98,98,97,97,72,96,97,97,93,92,95,96
mwi,Malawi,,,,,,,,,,,,64,84,89,93,99,87,91,93,93,97,96,89,91,88,84,88,92,95,94,93,86,91
mys,Malaysia,,,,,,,,,,97,95,95,95,94,96,95,96,97,96,96,96,97,96,96,99,98,98,99,97,99,94,96,97
nam,Namibia,,,,,,,,,,,,,,,,,,,,83,82,84,89,88,92,85,88,89,87,93,94,84,83
ner,Niger,,,,,,,,,,,,,,,,,,,71,70,75,71,73,81,84,80,85,79,81,81,82,84,85
nga,Nigeria,,,,,,,,,,,,,,,18,27,42,41,63,49,45,42,43,43,42,53,55,61,66,62,62,62,62
nic,Nicaragua,,,,,,,,,80,83,87,85,86,79,86,88,93,97,98,98,98,98,98,98,98,98,98,98,98,92,87,92,89
nld,Netherlands,,,,,,,96,96,96,,,,,,,,,,,,,,,,,,,,,,,,
nor,Norway,,,,,,97,96,95,94,,,,,,,,,,,,,,,,,,,,,,,,
npl,Nepal,,,,,,,,,,,,,2,27,41,69,82,82,89,82,92,90,92,92,91,87,90,91,93,84,91,90,94
